,sourceid,dstid,dow,mean_travel_time,la_name_src,area_src,la_name_dst,area_dst,dist_geo,dist_pop,dist_geo_log,dist_geo_sqrt,direction,src_cluster,dst_cluster,road_distance_by_traveltime,maxspeed_traveltime,fastest_travel_time,oneway_length,la_name_src.1,la_name_dst.1,population_density_src,population_density_dst,maxspeed_length,shortest_road_distance,oneway_length_by_length,fastest_travel_time_by_length
0,10,241,3,2334.43,24,0.790802,21,0.584104,14114.1372,14141.75916,9.555003061,118.8029343,-125,54,51,19291,48,1413,9096,Newham,Lambeth,9808,11998,41,17694,3565,1673
1,10,612,5,1529.83,24,0.790802,15,6.27943,13665.74685,12486.20487,9.522720924,116.9005853,41,54,44,17966,55,1084,12250,Newham,Havering,9808,2320,46,16265,1596,1276
2,10,905,4,1390.04,24,0.790802,27,0.662274,8249.044187,8333.425766,9.017973835,90.82424889,-117,54,57,11622,49,899,6326,Newham,Southwark,9808,11091,45,10898,2805,964
3,10,407,7,157.91,24,0.790802,0,0.796626,2258.856791,2371.941188,7.723056723,47.52743198,60,54,54,2982,55,172,1997,Newham,Barking and Dagenham,9808,5933,55,2982,1997,172
4,10,603,4,1781.67,24,0.790802,9,1.28299,17972.04034,18017.79398,9.796628155,134.0598387,-34,54,43,24998,57,1327,20919,Newham,Enfield,9808,4127,45,21603,2709,1780
5,10,123,1,1720.39,24,0.790802,9,1.62037,17595.04078,17605.77567,9.7754292,132.6462995,-44,54,5,23790,58,1259,19189,Newham,Enfield,9808,4127,45,21605,2889,1814
6,10,943,2,761.8,24,0.790802,29,0.841702,6189.825199,6168.755223,8.730823669,78.67544216,-127,54,73,8641,44,647,5486,Newham,Tower Hamlets,9808,16792,41,8103,2150,729
7,10,622,2,1351.76,24,0.790802,15,1.56645,11072.87614,10955.245,9.312344113,105.2277346,54,54,44,13656,48,974,6804,Newham,Havering,9808,2320,48,13656,6804,990
8,10,934,2,528.43,24,0.790802,29,0.472909,4481.591793,4631.946135,8.407956683,66.94469205,-105,54,73,6219,53,386,5217,Newham,Tower Hamlets,9808,16792,43,5488,1596,460
9,10,946,4,952.7,24,0.790802,30,1.88279,11189.01613,11126.1359,9.322777243,105.7781458,-17,54,20,15178,55,829,11920,Newham,Waltham Forest,9808,7135,45,12959,1089,1044
10,260,576,3,1327.26,22,1.15918,7,1.2261,7433.267451,7471.855526,8.913855327,86.21639897,-124,42,8,9157,41,874,580,Lewisham,Croydon,8687,4491,41,9140,580,877
11,260,830,4,2079.5,22,1.15918,25,0.90197,14291.9287,14378.3344,9.567520198,119.5488549,24,42,3,22811,56,1346,18647,Lewisham,Redbridge,8687,5418,45,19251,8936,1592
12,260,805,6,2076.51,22,1.15918,24,0.625159,12986.63598,12943.34269,9.471753105,113.9589223,27,42,3,23136,55,1378,19356,Lewisham,Newham,8687,9808,44,18003,7504,1528
13,260,447,7,1309.97,22,1.15918,4,1.87896,10791.98985,10739.2706,9.286652115,103.8845025,123,42,38,14845,53,946,9912,Lewisham,Bromley,8687,2216,42,12674,1031,1094
14,260,574,6,1032.38,22,1.15918,7,1.3919,5438.176625,5422.628514,8.601382973,73.74399382,-129,42,99,7106,42,664,817,Lewisham,Croydon,8687,4491,42,7106,817,664
15,260,390,3,1473.21,22,1.15918,2,1.48786,13555.15419,13515.00533,9.514595907,116.4266043,79,42,24,15907,47,1024,10524,Lewisham,Bexley,8687,4117,46,15159,4379,1160
16,260,66,6,877.91,22,1.15918,4,2.22537,4741.480887,5189.298604,8.464315672,68.85841188,105,42,83,7363,51,505,3881,Lewisham,Bromley,8687,2216,42,5854,675,527
17,260,21,2,2061.57,22,1.15918,6,3.15147,8971.013376,9310.210792,9.101865387,94.71543368,-33,42,90,15036,44,1289,4947,Lewisham,City of London,8687,3775,37,13268,2937,1359
18,260,146,2,2533.88,22,1.15918,11,0.611926,14586.86567,14581.43313,9.587945343,120.7760973,-14,42,48,21477,49,1446,13665,Lewisham,Hackney,8687,14737,38,17733,3467,1828
19,260,950,2,2485.59,22,1.15918,30,1.71866,18122.76756,18102.20619,9.804979481,134.6208288,5,42,20,26879,51,1723,18870,Lewisham,Waltham Forest,8687,7135,42,22579,8964,2003
20,41,441,3,2498.69,0,3.29688,3,2.57134,29398.64325,28830.06433,10.28873782,171.4603256,-88,95,12,43313,61,2404,38232,Barking and Dagenham,Brent,5933,7581,42,33176,14538,2821
21,41,173,7,1608.4,0,3.29688,13,0.704098,18745.33723,18525.439,9.838753665,136.9136123,-68,95,96,28337,62,1540,24972,Barking and Dagenham,Haringey,5933,9002,40,23820,2598,2139
22,41,328,3,1448.97,0,3.29688,30,0.84011,11162.84417,10910.63811,9.320435636,105.6543618,-72,95,79,16574,49,1156,8261,Barking and Dagenham,Waltham Forest,5933,7135,44,15424,3772,1283
23,41,231,5,2739.5,0,3.29688,21,0.764662,19758.47454,20035.70186,9.891388379,140.564841,-105,95,62,24552,48,1727,14491,Barking and Dagenham,Lambeth,5933,11998,45,23234,11391,1861
24,41,364,7,1860.17,0,3.29688,32,1.58855,20043.16063,20499.10176,9.90569315,141.5738699,-99,95,1,24117,46,1763,15287,Barking and Dagenham,Westminster,5933,12564,44,23104,12069,1859
25,41,804,3,945.06,0,3.29688,24,0.498732,7779.08645,7455.060362,8.959322729,88.19912953,-69,95,3,12303,57,752,8590,Barking and Dagenham,Newham,5933,9808,43,10910,1639,971
26,41,608,2,1315.0,0,3.29688,11,0.43675,13858.97038,13716.31631,9.536760136,117.7241283,-78,95,61,19238,54,1221,15363,Barking and Dagenham,Hackney,5933,14737,41,18232,4801,1587
27,41,40,7,363.19,0,3.29688,0,4.35624,3206.785618,4209.308969,8.073336139,56.62848769,-92,95,89,4310,39,401,235,Barking and Dagenham,Barking and Dagenham,5933,5933,39,4310,235,401
28,41,923,1,1103.57,0,3.29688,29,0.669055,11597.3115,11805.91614,9.358614806,107.6908144,-90,95,11,15004,58,919,12282,Barking and Dagenham,Tower Hamlets,5933,16792,48,14256,8811,1027
29,41,551,1,2700.35,0,3.29688,5,0.297798,18860.01657,18907.88079,9.844852456,137.3317755,-90,95,55,22234,48,1541,13049,Barking and Dagenham,Camden,5933,12824,43,21625,9868,1727
30,425,826,2,1768.0,3,1.77204,25,1.07228,19893.07749,19950.9697,9.898177353,141.0428215,87,85,3,26521,60,1432,24757,Brent,Redbridge,7581,5418,36,25244,8760,2329
31,425,750,5,1591.65,3,1.77204,18,0.700106,9118.64162,9018.864285,9.118185786,95.49157879,99,85,34,13008,49,965,7743,Brent,Islington,7581,16697,35,11307,1704,1186
32,425,482,1,1087.83,3,1.77204,17,1.4466,8220.083515,8250.524953,9.014457294,90.66467623,-162,85,66,12285,53,789,8154,Brent,Hounslow,7581,4854,38,11585,2994,1153
33,425,939,7,2797.29,3,1.77204,29,0.624579,14262.67173,13876.5348,9.565471146,119.4264281,113,85,90,17474,44,1480,5143,Brent,Tower Hamlets,7581,16792,40,17211,4623,1638
34,425,345,4,2209.65,3,1.77204,31,1.06083,12886.02829,12843.88855,9.463976525,113.5166432,162,85,19,17517,43,1483,8386,Brent,Wandsworth,7581,9624,36,16322,3268,1648
35,425,267,7,2212.0,3,1.77204,24,0.45945,19642.72741,19579.99543,9.88551335,140.1525148,100,85,32,32335,58,1720,29589,Brent,Newham,7581,9808,43,23841,6545,2110
36,425,439,5,426.14,3,1.77204,3,0.890012,2355.223132,2410.255173,7.764815248,48.53064116,-154,85,12,3614,42,342,649,Brent,Brent,7581,7581,42,3614,649,342
37,425,339,4,2191.65,3,1.77204,31,0.785436,12072.41633,12038.36322,9.398761317,109.8745481,160,85,19,17233,43,1481,8177,Brent,Wandsworth,7581,9624,39,15934,1534,1565
38,425,65,5,972.09,3,1.77204,3,0.437834,4278.77015,4250.802865,8.361654584,65.41230886,141,85,58,5547,45,468,110,Brent,Brent,7581,7581,45,5547,110,468
39,425,242,6,2541.88,3,1.77204,21,0.685346,14775.81771,14686.31479,9.600814861,121.5558214,147,85,51,17567,45,1484,4614,Brent,Lambeth,7581,11998,40,17272,4015,1655
40,762,755,3,2292.48,22,0.767578,18,0.929619,10462.78299,10621.09646,9.255675335,102.2877461,-18,42,55,13754,35,1450,3506,Lewisham,Islington,8687,16697,33,13620,4597,1496
41,762,395,5,1795.96,22,0.767578,2,3.74337,16990.9666,17174.43813,9.740495958,130.349402,82,42,24,19231,48,1240,11416,Lewisham,Bexley,8687,4117,48,19231,11416,1240
42,762,80,4,585.49,22,0.767578,4,0.933065,3321.216645,3191.590513,8.108387503,57.62999778,175,42,82,4100,42,355,50,Lewisham,Bromley,8687,2216,39,4029,50,376
43,762,516,5,1678.45,22,0.767578,7,1.28079,9917.53422,9868.048693,9.202160429,99.5868175,-166,42,0,12055,46,944,1729,Lewisham,Croydon,8687,4491,44,11424,2387,1008
44,762,793,2,1368.31,22,0.767578,23,1.15983,6543.563861,6319.727605,8.786390039,80.89229791,-131,42,8,9639,43,858,899,Lewisham,Merton,8687,5490,36,8738,545,905
45,762,791,4,1325.38,22,0.767578,23,1.24169,6369.157951,6291.50006,8.759379544,79.8070044,-122,42,8,8388,37,899,762,Lewisham,Merton,8687,5490,36,8370,762,902
46,762,974,5,2836.54,22,0.767578,32,0.693921,13102.88613,13169.70888,9.480664117,114.4678389,-38,42,16,17931,45,1474,5679,Lewisham,Westminster,8687,12564,38,15524,5140,1511
47,762,309,3,1599.24,22,0.767578,28,1.25275,10425.93214,10326.23964,9.252147367,102.1074539,-147,42,21,13319,46,1028,2551,Lewisham,Sutton,8687,4737,41,12378,2087,1159
48,762,448,5,820.94,22,0.767578,4,3.07727,5543.007577,5090.233983,8.620472908,74.45137727,155,42,37,6741,42,588,180,Lewisham,Bromley,8687,2216,40,6648,153,619
49,762,338,1,1697.07,22,0.767578,31,1.07454,12131.45103,12093.28946,9.403639045,110.1428664,-78,42,45,14360,47,1118,2985,Lewisham,Wandsworth,8687,9624,46,14278,2985,1125
50,750,927,3,1589.55,18,0.700106,29,0.667459,6474.817217,6454.516868,8.77583009,80.46624893,116,34,11,9830,37,942,3395,Islington,Tower Hamlets,16697,16792,35,9288,1037,1000
51,750,21,2,1032.14,18,0.700106,6,3.15147,3963.047817,3623.178853,8.285020958,62.95274273,166,34,90,4459,32,498,658,Islington,City of London,16697,3775,32,4459,658,498
52,750,148,4,677.43,18,0.700106,11,0.685777,2845.767735,2808.131051,7.953939501,53.34573774,33,34,48,4752,39,447,1250,Islington,Hackney,16697,14737,32,4536,218,507
53,750,125,4,1761.68,18,0.700106,9,1.62022,9768.763279,9792.016187,9.187047515,98.83705418,9,34,84,12709,48,960,5329,Islington,Enfield,16697,4127,44,11911,5118,987
54,750,40,7,1959.83,18,0.700106,0,4.35624,14996.92185,13907.21672,9.615666927,122.46192,100,34,89,19254,42,1465,11756,Islington,Barking and Dagenham,16697,5933,43,19056,10246,1519
55,750,178,4,973.51,18,0.700106,13,0.57728,4440.158218,4373.300127,8.398670481,66.63451221,23,34,48,6185,42,542,1788,Islington,Haringey,16697,9002,42,6185,1788,542
56,750,878,5,2555.83,18,0.700106,22,0.81245,10612.0956,10690.03611,9.269843951,103.0150261,148,34,18,14156,40,1342,3924,Islington,Lewisham,16697,8687,37,13630,2660,1414
57,750,826,4,1824.45,18,0.700106,25,1.07228,11149.89924,11264.86915,9.319275423,105.5930833,77,34,3,14757,39,1151,8236,Islington,Redbridge,16697,5418,37,14575,7153,1214
58,750,331,2,2151.95,18,0.700106,31,2.2004,8311.82874,8755.142089,9.025555232,91.16923132,-163,34,62,12342,39,1188,5745,Islington,Wandsworth,16697,9624,32,10779,4578,1204
59,750,323,1,1678.56,18,0.700106,29,1.90094,8447.397824,8450.32739,9.041732096,91.90972649,124,34,73,10477,40,993,3335,Islington,Tower Hamlets,16697,16792,40,10477,3335,993
60,100,627,3,571.36,10,1.38568,10,0.652694,2418.196229,2463.446772,7.791190627,49.17515865,19,29,98,3427,39,324,0,Greenwich,Greenwich,6105,6105,37,3227,0,329
61,100,446,5,1117.68,10,1.38568,4,2.80683,8594.294968,8629.895133,9.058970236,92.70542038,168,29,15,11130,45,911,1091,Greenwich,Bromley,6105,2216,41,10783,241,958
62,100,920,4,1297.93,10,1.38568,29,0.463725,9579.754694,9575.966844,9.167511646,97.87622129,-44,29,11,12129,45,907,6130,Greenwich,Tower Hamlets,6105,16792,41,11599,5964,961
63,100,273,4,1470.83,10,1.38568,25,2.34404,13981.69439,14055.037,9.545575729,118.244215,-2,29,28,19050,52,1177,14781,Greenwich,Redbridge,6105,5418,44,17498,9598,1419
64,100,577,7,2287.88,10,1.38568,7,0.99273,13342.89987,13334.78568,9.498814621,115.5114707,-123,29,8,20314,48,1545,5550,Greenwich,Croydon,6105,4491,39,17767,2971,1749
65,100,960,6,1602.54,10,1.38568,30,0.890588,13508.40131,13538.86059,9.511141116,116.2256483,-22,29,22,17890,47,1245,11885,Greenwich,Waltham Forest,6105,7135,42,16699,8604,1421
66,100,289,7,1151.48,10,1.38568,27,0.971831,7301.253659,7458.502866,8.8959383,85.44737363,-80,29,57,8668,45,707,2461,Greenwich,Southwark,6105,11091,44,8592,2461,730
67,100,902,5,1192.67,10,1.38568,27,0.96891,7115.181305,7111.504623,8.870126527,84.3515341,-65,29,90,9569,41,845,3000,Greenwich,Southwark,6105,11091,36,8964,1528,921
68,100,963,5,1738.43,10,1.38568,30,0.699687,12315.15168,12300.26577,9.418666825,110.9736531,-19,29,22,16054,48,1095,11733,Greenwich,Waltham Forest,6105,7135,45,15150,9063,1208
69,100,582,7,2169.48,10,1.38568,7,0.735001,12960.86054,12966.78349,9.46976652,113.8457753,-128,29,8,17704,44,1480,2771,Greenwich,Croydon,6105,4491,42,17098,2687,1581
70,791,690,1,1975.38,23,1.24169,12,1.19723,8621.192609,8755.871744,9.062094694,92.85037754,-36,8,45,10624,40,1005,2386,Merton,Hammersmith and Fulham,5490,11189,40,10624,2386,1005
71,791,110,6,520.76,23,1.24169,7,1.00286,2306.588823,2285.16367,7.743958459,48.02695934,152,8,8,3711,39,358,0,Merton,Croydon,5490,4491,36,3672,70,402
72,791,783,2,1253.59,23,1.24169,23,1.15804,4195.022408,4370.616432,8.34189231,64.76899264,-78,8,26,5838,39,591,1011,Merton,Merton,5490,5490,38,5764,915,598
